corp_code,recddate,filename'
105215,2014-04-01 00:00:00.000,TVS Motor_Sales grows by 17% March 2014_NSE 010414.pdf'
102980,2014-04-01 00:00:00.000,Maruti_Sales March 2014_NSE 010414.pdf'
102902,2014-04-01 00:00:00.000,M&M_Auto sector sells 51636 units March 2014_NSE 010414.pdf'
100538,2014-04-01 00:00:00.000,BEL records Rs.6180 cr turnover_NSE 010414.pdf'
105048,2014-04-01 00:00:00.000,Tata Motors March 2014 sales_NSE 010414.pdf'
105639,2014-04-01 00:00:00.000,Hero Motocorp zooms ahead with record 6.25mn units in FY 14_NSE 010414.pdf'
100628,2014-03-31 00:00:00.000,Bharat_Heavy_Electricals_Ltd1_Dir appointment 310314.pdf'
556615,2014-03-31 00:00:00.000,NHPC_Ltd_post buyback 310314.pdf'
101442,2014-03-28 00:00:00.000,FAG_Bearings_India_Ltd_AGM 280314.pdf'
555883,2014-03-31 00:00:00.000,Cera_Sanitaryware_Ltd1_Dir Appointment 310314.pdf'
105048,2014-04-02 00:00:00.000,TATA MOTOR_Production & Sales for March 2014_NSE 020414.pdf'
104341,2014-03-31 00:00:00.000,Sesa_Sterlite_Ltd_Dir Appointment 310314.pdf'
103370,2014-04-02 00:00:00.000,Neyveli Lignite_Production Performance March 2014_NSE 02042014.pdf'
100344,2014-04-02 00:00:00.000,Ashok Leyland_Sales volume March 2014_NSE_020414.pdf'
556956,2014-04-02 00:00:00.000,Coal India_Production & Offtake Performance March 2014_NSE 020414.pdf'
101942,2014-04-01 00:00:00.000,Hindustan_Unilever_Ltd_Dir Appointment 010414.pdf'
100344,2014-04-01 00:00:00.000,Ashok_Leyland_Ltd_operational data Mar 14 010414.pdf'
105048,2014-04-01 00:00:00.000,Tata_Motors_Ltd_operational data 010414.pdf'
107402,2014-04-01 00:00:00.000,JSW_Steel_Ltd_operational data 010414.pdf'
100628,2014-04-01 00:00:00.000,Bharat_Electronics_Ltd_operational data 010414.pdf'
101399,2014-04-01 00:00:00.000,Escorts_Ltd_operational data 010414.pdf'
556380,2014-04-01 00:00:00.000,Reliance_Power_Ltd_operational data 010414.pdf'
105019,2014-04-01 00:00:00.000,Tata_Power_Company_Ltd1_Dir Appointment 010414.pdf'
105215,2014-04-01 00:00:00.000,TVS_Motor_Company_Ltd_operational data 010414.pdf'
100926,2014-04-01 00:00:00.000,Cipla_Ltd_Dir Appointment 010414.pdf'
102980,2014-04-01 00:00:00.000,Maruti_Suzuki_India_Ltd_Operational Data Mar 2014 010414.pdf'
108562,2014-04-01 00:00:00.000,UPL_Ltd_Others 010414.pdf'
105019,2014-04-01 00:00:00.000,Tata_Power_Company_Ltd_Dir Appointment 010414.pdf'
103415,1900-01-01 00:00:00.000,NMDC_Operational data_NSE 030414.pdf'
105114,2014-04-04 00:00:00.000,Tata Steel_Performance for FY 2014_NSE 040414.pdf'
105048,2014-04-02 00:00:00.000,Tata_Motors_Ltd_operational data Mar 14 020414.pdf'
100344,2014-04-02 00:00:00.000,Ashok_Leyland_Ltd_merger 020414.pdf'
555853,2014-04-02 00:00:00.000,United_Spirits_Ltd_merger 020414.pdf'
100019,2014-04-02 00:00:00.000,ABB_India_Ltd_AGM 020414.pdf'
556418,2014-04-02 00:00:00.000,Bajaj_Auto_Ltd_operational Data Mar 14 020414.pdf'
103415,2014-04-03 00:00:00.000,NMDC_Ltd_operational data 030414.pdf'
100628,2014-04-05 00:00:00.000,Bharat_Heavy_Electricals_Flash Results for yr ended Mar 2014_050414.pdf'
101052,2014-04-03 00:00:00.000,CRISIL_Ltd_capital raising 030414.pdf'
557389,2014-04-03 00:00:00.000,Sangam_Advisors_Ltd_Pref allt 030414.pdf'
